instance,n,k,algorithm,attempt,floyd_ms,algo_ms,radius,optimal_radius,gap_pct
pmed12,300,10,Exact,3,286,1856,51,51,0.00
pmed22,500,10,WVA-IG,3,616,11185,40,38,5.26
pmed12,300,10,Exact,4,286,1898,51,51,0.00
pmed31,700,5,WVA-IG,3,477,7518,30,30,0.00
pmed12,300,10,Exact,5,286,1894,51,51,0.00
pmed36,800,10,Gonzalez,1,778,0,41,27,51.85
pmed36,800,10,Gonzalez,2,778,0,41,27,51.85
pmed36,800,10,Gonzalez,3,778,0,41,27,51.85
pmed36,800,10,Gonzalez,4,778,0,41,27,51.85
pmed36,800,10,Gonzalez,5,778,0,41,27,51.85
pmed36,800,10,FastMap,1,778,0,50,27,85.19
pmed36,800,10,FastMap,2,778,0,40,27,48.15
pmed36,800,10,FastMap,3,778,0,41,27,51.85
pmed36,800,10,FastMap,4,778,0,62,27,129.63
pmed36,800,10,FastMap,5,778,0,61,27,125.93
pmed17,400,10,WVA-IG,5,473,7521,42,39,7.69
pmed10,200,67,WVA-IG,1,65,42381,21,20,5.00
pmed32,700,10,WVA-IG,1,489,26673,31,29,6.90
pmed35,800,5,WVA-IG,1,739,10693,30,30,0.00
pmed31,700,5,WVA-IG,4,477,7855,30,30,0.00
pmed22,500,10,WVA-IG,4,616,9734,39,38,2.63
pmed9,200,40,WVA-IG,2,82,23141,40,37,8.11
pmed27,600,10,WVA-IG,2,467,23413,34,32,6.25
pmed17,400,10,Exact,1,473,12348,39,39,0.00
pmed31,700,5,WVA-IG,5,477,7749,30,30,0.00
pmed31,700,5,Exact,1,477,546,30,30,0.00
pmed31,700,5,Exact,2,477,471,30,30,0.00
pmed31,700,5,Exact,3,477,474,30,30,0.00
pmed31,700,5,Exact,4,477,477,30,30,0.00
pmed31,700,5,Exact,5,477,475,30,30,0.00
pmed35,800,5,WVA-IG,2,739,11038,30,30,0.00
pmed22,500,10,WVA-IG,5,616,9646,39,38,2.63
pmed37,800,80,Gonzalez,1,719,0,24,15,60.00
pmed37,800,80,Gonzalez,2,719,0,24,15,60.00
pmed37,800,80,Gonzalez,3,719,0,24,15,60.00
pmed37,800,80,Gonzalez,4,719,0,24,15,60.00
pmed37,800,80,Gonzalez,5,719,0,24,15,60.00
pmed37,800,80,FastMap,1,719,0,31,15,106.67
pmed37,800,80,FastMap,2,719,0,32,15,113.33
pmed37,800,80,FastMap,3,719,0,29,15,93.33
pmed37,800,80,FastMap,4,719,0,32,15,113.33
pmed37,800,80,FastMap,5,719,0,31,15,106.67
pmed13,300,30,WVA-IG,2,288,26958,38,35,8.57
pmed17,400,10,Exact,2,473,12318,39,39,0.00
pmed35,800,5,WVA-IG,3,739,12186,30,30,0.00
pmed32,700,10,WVA-IG,2,489,26837,31,29,6.90
pmed9,200,40,WVA-IG,3,82,23260,40,37,8.11
pmed27,600,10,WVA-IG,3,467,22475,34,32,6.25
pmed36,800,10,WVA-IG,1,778,35516,29,27,7.41
pmed17,400,10,Exact,3,473,12249,39,39,0.00
pmed35,800,5,WVA-IG,4,739,12130,30,30,0.00
pmed18,400,40,WVA-IG,1,368,82372,32,28,14.29
pmed13,300,30,WVA-IG,3,288,25350,39,35,11.43
pmed10,200,67,WVA-IG,2,65,43736,21,20,5.00
pmed17,400,10,Exact,4,473,12233,39,39,0.00
pmed35,800,5,WVA-IG,5,739,12829,30,30,0.00
pmed35,800,5,Exact,1,739,444,30,30,0.00
pmed35,800,5,Exact,2,739,445,30,30,0.00
pmed35,800,5,Exact,3,739,449,30,30,0.00
pmed35,800,5,Exact,4,739,448,30,30,0.00
pmed32,700,10,WVA-IG,3,489,24834,30,29,3.45
pmed35,800,5,Exact,5,739,447,30,30,0.00
pmed38,900,5,Gonzalez,1,1179,0,36,29,24.14
pmed38,900,5,Gonzalez,2,1179,0,36,29,24.14
pmed38,900,5,Gonzalez,3,1179,0,36,29,24.14
pmed38,900,5,Gonzalez,4,1179,0,36,29,24.14
pmed38,900,5,Gonzalez,5,1179,0,36,29,24.14
pmed38,900,5,FastMap,1,1179,0,50,29,72.41
pmed38,900,5,FastMap,2,1179,0,40,29,37.93
pmed38,900,5,FastMap,3,1179,0,45,29,55.17
pmed38,900,5,FastMap,4,1179,0,38,29,31.03
pmed38,900,5,FastMap,5,1179,0,53,29,82.76
pmed27,600,10,WVA-IG,4,467,22658,34,32,6.25
pmed9,200,40,WVA-IG,4,82,25624,40,37,8.11
pmed14,300,60,WVA-IG,1,280,101659,30,26,15.38
pmed17,400,10,Exact,5,473,14357,39,39,0.00
pmed39,900,10,Gonzalez,1,1433,0,35,23,52.17
pmed39,900,10,Gonzalez,2,1433,0,35,23,52.17
pmed39,900,10,Gonzalez,3,1433,0,35,23,52.17
pmed39,900,10,Gonzalez,4,1433,0,35,23,52.17
pmed39,900,10,Gonzalez,5,1433,0,35,23,52.17
pmed39,900,10,FastMap,1,1433,0,31,23,34.78
pmed39,900,10,FastMap,2,1433,0,34,23,47.83
pmed39,900,10,FastMap,3,1433,0,34,23,47.83
pmed39,900,10,FastMap,4,1433,0,35,23,52.17
pmed39,900,10,FastMap,5,1433,0,35,23,52.17
pmed13,300,30,WVA-IG,4,288,25379,39,35,11.43
pmed36,800,10,WVA-IG,2,778,35180,29,27,7.41
pmed38,900,5,WVA-IG,1,1179,16762,29,29,0.00
pmed27,600,10,WVA-IG,5,467,21210,34,32,6.25
pmed9,200,40,WVA-IG,5,82,23919,40,37,8.11
pmed8,200,20,Exact,1,65,91884,55,55,0.00
pmed38,900,5,WVA-IG,2,1179,17453,29,29,0.00
pmed32,700,10,WVA-IG,4,489,35988,31,29,6.90
pmed10,200,67,WVA-IG,3,65,44817,22,20,10.00
pmed22,500,10,Exact,1,616,78051,38,38,0.00
pmed13,300,30,WVA-IG,5,288,24991,39,35,11.43
pmed9,200,40,Exact,1,82,14537,37,37,0.00
pmed36,800,10,WVA-IG,3,778,35492,28,27,3.70
pmed38,900,5,WVA-IG,3,1179,17257,29,29,0.00
pmed39,900,10,WVA-IG,1,1433,44470,25,23,8.70
pmed9,200,40,Exact,2,82,14611,37,37,0.00
pmed38,900,5,WVA-IG,4,1179,13795,29,29,0.00
pmed9,200,40,Exact,3,82,14489,37,37,0.00
pmed18,400,40,WVA-IG,2,368,82674,33,28,17.86
pmed32,700,10,WVA-IG,5,489,35050,30,29,3.45
pmed10,200,67,WVA-IG,4,65,38868,21,20,5.00
pmed38,900,5,WVA-IG,5,1179,12449,29,29,0.00
pmed38,900,5,Exact,1,1179,658,29,29,0.00
pmed38,900,5,Exact,2,1179,786,29,29,0.00
pmed38,900,5,Exact,3,1179,695,29,29,0.00
pmed38,900,5,Exact,4,1179,699,29,29,0.00
pmed38,900,5,Exact,5,1179,707,29,29,0.00
pmed40,900,90,Gonzalez,1,887,0,21,13,61.54
pmed40,900,90,Gonzalez,2,887,0,21,13,61.54
pmed40,900,90,Gonzalez,3,887,0,21,13,61.54
pmed40,900,90,Gonzalez,4,887,0,21,13,61.54
pmed40,900,90,Gonzalez,5,887,0,21,13,61.54
pmed40,900,90,FastMap,1,887,0,25,13,92.31
pmed40,900,90,FastMap,2,887,0,25,13,92.31
pmed40,900,90,FastMap,3,887,0,25,13,92.31
pmed40,900,90,FastMap,4,887,0,28,13,115.38
pmed40,900,90,FastMap,5,887,0,25,13,92.31
pmed9,200,40,Exact,4,82,15566,37,37,0.00
pmed36,800,10,WVA-IG,4,778,38216,29,27,7.41
pmed9,200,40,Exact,5,82,16125,37,37,0.00
pmed23,500,50,WVA-IG,1,607,201523,28,22,27.27
pmed39,900,10,WVA-IG,2,1433,53230,25,23,8.70
pmed14,300,60,WVA-IG,2,280,105255,31,26,19.23
pmed22,500,10,Exact,2,616,76079,38,38,0.00
pmed8,200,20,Exact,2,65,90011,55,55,0.00
pmed10,200,67,WVA-IG,5,65,46337,21,20,5.00
pmed10,200,67,Exact,1,65,5,20,20,0.00
pmed10,200,67,Exact,2,65,5,20,20,0.00
pmed10,200,67,Exact,3,65,5,20,20,0.00
pmed10,200,67,Exact,4,65,5,20,20,0.00
pmed10,200,67,Exact,5,65,5,20,20,0.00
pmed36,800,10,WVA-IG,5,778,35470,30,27,11.11
pmed15,300,100,WVA-IG,1,261,230372,19,18,5.56
pmed39,900,10,WVA-IG,3,1433,41814,25,23,8.70
pmed18,400,40,WVA-IG,3,368,88749,33,28,17.86
pmed22,500,10,Exact,3,616,50576,38,38,0.00
pmed39,900,10,WVA-IG,4,1433,38917,25,23,8.70
pmed19,400,80,WVA-IG,1,353,299945,23,18,27.78
pmed8,200,20,Exact,3,65,89334,55,55,0.00
pmed14,300,60,WVA-IG,3,280,98900,30,26,15.38
pmed39,900,10,WVA-IG,5,1433,38599,25,23,8.70
pmed22,500,10,Exact,4,616,68270,38,38,0.00
pmed18,400,40,WVA-IG,4,368,106977,33,28,17.86
pmed15,300,100,WVA-IG,2,261,146839,19,18,5.56
pmed14,300,60,WVA-IG,4,280,78831,31,26,19.23
pmed8,200,20,Exact,4,65,93620,55,55,0.00
pmed22,500,10,Exact,5,616,80479,38,38,0.00
pmed23,500,50,WVA-IG,2,607,222742,26,22,18.18
pmed14,300,60,WVA-IG,5,280,74242,31,26,19.23
pmed18,400,40,WVA-IG,5,368,100035,33,28,17.86
pmed8,200,20,Exact,5,65,77405,55,55,0.00
pmed28,600,60,WVA-IG,1,523,468421,23,18,27.78
pmed15,300,100,WVA-IG,3,261,161451,20,18,11.11
pmed20,400,133,WVA-IG,1,354,543267,17,13,30.77
pmed39,900,10,Exact,1,1433,221999,23,23,0.00
pmed19,400,80,WVA-IG,2,353,287844,24,18,33.33
pmed23,500,50,WVA-IG,3,607,192193,27,22,22.73
pmed27,600,10,Exact,1,467,509961,32,32,0.00
pmed15,300,100,WVA-IG,4,261,145557,21,18,16.67
pmed32,700,10,Exact,1,489,556949,29,29,0.00
pmed24,500,100,WVA-IG,1,669,746016,20,15,33.33
pmed23,500,50,WVA-IG,4,607,164546,28,22,27.27
pmed15,300,100,WVA-IG,5,261,127753,21,18,16.67
pmed15,300,100,Exact,1,261,1862,18,18,0.00
pmed15,300,100,Exact,2,261,1804,18,18,0.00
pmed15,300,100,Exact,3,261,1804,18,18,0.00
pmed15,300,100,Exact,4,261,3579,18,18,0.00
pmed15,300,100,Exact,5,261,3587,18,18,0.00
pmed19,400,80,WVA-IG,3,353,276110,24,18,33.33
pmed39,900,10,Exact,2,1433,326461,23,23,0.00
pmed28,600,60,WVA-IG,2,523,488219,22,18,22.22
pmed23,500,50,WVA-IG,5,607,191772,29,22,31.82
pmed14,300,60,Exact,1,280,596130,26,26,0.00
pmed20,400,133,WVA-IG,2,354,522118,17,13,30.77
pmed32,700,10,Exact,2,489,389674,29,29,0.00
pmed33,700,70,WVA-IG,1,485,1095875,20,15,33.33
pmed19,400,80,WVA-IG,4,353,264902,23,18,27.78
pmed25,500,167,WVA-IG,1,154,1140515,15,11,36.36
pmed29,600,120,WVA-IG,1,324,1136135,17,13,30.77
pmed39,900,10,Exact,3,1433,290033,23,23,0.00
pmed36,800,10,Exact,1,778,956613,27,27,0.00
pmed27,600,10,Exact,2,467,559372,32,32,0.00
pmed19,400,80,WVA-IG,5,353,158071,23,18,27.78
pmed24,500,100,WVA-IG,2,669,573262,20,15,33.33
pmed28,600,60,WVA-IG,3,523,365098,22,18,22.22
pmed39,900,10,Exact,4,1433,239813,23,23,0.00
pmed20,400,133,WVA-IG,3,354,403102,16,13,23.08
pmed37,800,80,WVA-IG,1,719,1528286,20,15,33.33
pmed39,900,10,Exact,5,1433,203173,23,23,0.00
pmed14,300,60,Exact,2,280,590341,26,26,0.00
pmed28,600,60,WVA-IG,4,523,326454,23,18,27.78
pmed32,700,10,Exact,3,489,543202,29,29,0.00
pmed27,600,10,Exact,3,467,485193,32,32,0.00
pmed28,600,60,WVA-IG,5,523,187413,22,18,22.22
pmed27,600,10,Exact,4,467,258423,32,32,0.00
pmed20,400,133,WVA-IG,4,354,496665,16,13,23.08
pmed24,500,100,WVA-IG,3,669,654619,21,15,40.00
pmed33,700,70,WVA-IG,2,485,895081,21,15,40.00
pmed14,300,60,Exact,3,280,385429,26,26,0.00
pmed36,800,10,Exact,2,778,904709,27,27,0.00
pmed27,600,10,Exact,5,467,259335,32,32,0.00
pmed32,700,10,Exact,4,489,683201,29,29,0.00
pmed30,600,200,WVA-IG,1,506,2355663,13,9,44.44
pmed34,700,140,WVA-IG,1,492,2366478,15,11,36.36
pmed20,400,133,WVA-IG,5,354,436745,17,13,30.77
pmed20,400,133,Exact,1,354,793,13,13,0.00
pmed20,400,133,Exact,2,354,818,13,13,0.00
pmed20,400,133,Exact,3,354,794,13,13,0.00
pmed20,400,133,Exact,4,354,793,13,13,0.00
pmed20,400,133,Exact,5,354,793,13,13,0.00
pmed14,300,60,Exact,4,280,377879,26,26,0.00
pmed24,500,100,WVA-IG,4,669,476060,20,15,33.33
pmed25,500,167,WVA-IG,2,154,1443581,14,11,27.27
pmed29,600,120,WVA-IG,2,324,1452288,17,13,30.77
pmed40,900,90,WVA-IG,1,887,2470847,18,13,38.46
pmed36,800,10,Exact,3,778,617375,27,27,0.00
pmed32,700,10,Exact,5,489,373222,29,29,0.00
pmed37,800,80,WVA-IG,2,719,1141141,21,15,40.00
pmed33,700,70,WVA-IG,3,485,748587,21,15,40.00
pmed24,500,100,WVA-IG,5,669,326668,19,15,26.67
pmed14,300,60,Exact,5,280,532751,26,26,0.00
pmed33,700,70,WVA-IG,4,485,506744,21,15,40.00
pmed29,600,120,WVA-IG,3,324,787794,17,13,30.77
pmed36,800,10,Exact,4,778,778153,27,27,0.00
pmed25,500,167,WVA-IG,3,154,1156637,14,11,27.27
pmed37,800,80,WVA-IG,3,719,1042122,20,15,33.33
pmed33,700,70,WVA-IG,5,485,552761,21,15,40.00
pmed29,600,120,WVA-IG,4,324,728117,17,13,30.77
pmed34,700,140,WVA-IG,2,492,1737015,15,11,36.36
pmed36,800,10,Exact,5,778,704527,27,27,0.00
pmed30,600,200,WVA-IG,2,506,1860338,13,9,44.44
pmed25,500,167,WVA-IG,4,154,828793,14,11,27.27
pmed40,900,90,WVA-IG,2,887,2192371,19,13,46.15
pmed37,800,80,WVA-IG,4,719,1155764,21,15,40.00
pmed29,600,120,WVA-IG,5,324,938304,17,13,30.77
pmed25,500,167,WVA-IG,5,154,807078,14,11,27.27
pmed34,700,140,WVA-IG,3,492,1544559,15,11,36.36
pmed25,500,167,Exact,1,154,654683,11,11,0.00
pmed30,600,200,WVA-IG,3,506,1828604,14,9,55.56
pmed37,800,80,WVA-IG,5,719,1229300,20,15,33.33
pmed25,500,167,Exact,2,154,680467,11,11,0.00
pmed40,900,90,WVA-IG,3,887,1957933,19,13,46.15
pmed25,500,167,Exact,3,154,624027,11,11,0.00
pmed34,700,140,WVA-IG,4,492,1796634,16,11,45.45
pmed30,600,200,WVA-IG,4,506,1758045,13,9,44.44
pmed25,500,167,Exact,4,154,731660,11,11,0.00
pmed25,500,167,Exact,5,154,619752,11,11,0.00
pmed40,900,90,WVA-IG,4,887,2041064,18,13,38.46
pmed30,600,200,WVA-IG,5,506,1776890,13,9,44.44
pmed34,700,140,WVA-IG,5,492,2472400,16,11,45.45
pmed40,900,90,WVA-IG,5,887,2004462,18,13,38.46
pmed13,300,30,Exact,1,288,54150055,35,35,0.00
