attempt,vertices,edges,connectivity,representation,generation_time_ms,fleury_time_ms,path_length,eulerian_type,algorithm
3,10000,25000,EULERIAN,Forward Star,5,88097,25001,EULERIAN,Naive Local
4,10000,25000,EULERIAN,Forward Star,4,81914,25001,EULERIAN,Naive Local
5,10000,25000,EULERIAN,Forward Star,4,84706,25001,EULERIAN,Naive Local
8,10000,25000,EULERIAN,Forward Star,5,82516,25001,EULERIAN,Naive Local
7,10000,25000,EULERIAN,Forward Star,4,84603,25001,EULERIAN,Naive Local
6,10000,25000,EULERIAN,Forward Star,5,85410,25001,EULERIAN,Naive Local
10,10000,25000,EULERIAN,Forward Star,4,85839,25001,EULERIAN,Naive Local
1,10000,25002,SEMI_EULERIAN,Forward Star,4,85636,25003,SEMI_EULERIAN,Naive Local
9,10000,25000,EULERIAN,Forward Star,4,87931,25001,EULERIAN,Naive Local
2,10000,25002,SEMI_EULERIAN,Forward Star,3,83689,25003,SEMI_EULERIAN,Naive Local
2,10000,25000,CONNECTED,Forward Star,4,9018,0,NON_EULERIAN,Naive Local
3,10000,25002,SEMI_EULERIAN,Forward Star,5,83610,25003,SEMI_EULERIAN,Naive Local
4,10000,25002,SEMI_EULERIAN,Forward Star,4,84547,25003,SEMI_EULERIAN,Naive Local
1,10000,25000,CONNECTED,Forward Star,5,20862,0,NON_EULERIAN,Naive Local
9,10000,25000,CONNECTED,Forward Star,4,15316,0,NON_EULERIAN,Naive Local
5,10000,25000,CONNECTED,Forward Star,4,21967,0,NON_EULERIAN,Naive Local
4,10000,25000,CONNECTED,Forward Star,4,30945,0,NON_EULERIAN,Naive Local
6,10000,25000,CONNECTED,Forward Star,4,28558,0,NON_EULERIAN,Naive Local
3,10000,25000,CONNECTED,Forward Star,5,32516,0,NON_EULERIAN,Naive Local
10,10000,25000,CONNECTED,Forward Star,4,19053,0,NON_EULERIAN,Naive Local
7,10000,25000,CONNECTED,Forward Star,4,31704,0,NON_EULERIAN,Naive Local
8,10000,25000,CONNECTED,Forward Star,4,31446,0,NON_EULERIAN,Naive Local
5,10000,25002,SEMI_EULERIAN,Forward Star,4,87078,25003,SEMI_EULERIAN,Naive Local
6,10000,25002,SEMI_EULERIAN,Forward Star,8,80653,25003,SEMI_EULERIAN,Naive Local
7,10000,25002,SEMI_EULERIAN,Forward Star,4,84398,25003,SEMI_EULERIAN,Naive Local
10,10000,25002,SEMI_EULERIAN,Forward Star,4,81178,25003,SEMI_EULERIAN,Naive Local
9,10000,25002,SEMI_EULERIAN,Forward Star,4,84172,25003,SEMI_EULERIAN,Naive Local
8,10000,25002,SEMI_EULERIAN,Forward Star,5,90913,25003,SEMI_EULERIAN,Naive Local
9,100000,250000,CONNECTED,Forward Star,91,1227380,0,NON_EULERIAN,Tarjan
3,100000,250000,CONNECTED,Forward Star,62,1654024,0,NON_EULERIAN,Tarjan
10,100000,250000,CONNECTED,Forward Star,89,1328862,0,NON_EULERIAN,Tarjan
2,100000,250000,CONNECTED,Forward Star,84,1887630,0,NON_EULERIAN,Tarjan
10,100000,250002,SEMI_EULERIAN,Forward Star,75,3600147,22037,SEMI_EULERIAN,Tarjan
5,100000,250000,CONNECTED,Forward Star,77,2120489,0,NON_EULERIAN,Tarjan
8,100000,250000,CONNECTED,Forward Star,93,2155033,0,NON_EULERIAN,Tarjan
4,100000,250000,CONNECTED,Forward Star,88,2591772,0,NON_EULERIAN,Tarjan
6,100000,250000,CONNECTED,Forward Star,77,3359372,0,NON_EULERIAN,Tarjan
7,100000,250000,CONNECTED,Forward Star,183,3600070,21661,SEMI_EULERIAN,Tarjan
1,100000,250000,CONNECTED,Adjacency List,87,1516988,0,NON_EULERIAN,Naive Local
1,100000,250000,EULERIAN,Adjacency List,64,3600085,52967,EULERIAN,Naive Local
2,100000,250000,EULERIAN,Adjacency List,74,3600176,54595,EULERIAN,Naive Local
3,100000,250000,EULERIAN,Adjacency List,65,3600154,58682,EULERIAN,Naive Local
4,100000,250000,EULERIAN,Adjacency List,67,3600099,48129,EULERIAN,Naive Local
5,100000,250000,EULERIAN,Adjacency List,71,3600120,53354,EULERIAN,Naive Local
6,100000,250000,EULERIAN,Adjacency List,73,3600161,51044,EULERIAN,Naive Local
7,100000,250000,EULERIAN,Adjacency List,74,3600129,53264,EULERIAN,Naive Local
8,100000,250000,EULERIAN,Adjacency List,71,3600102,51353,EULERIAN,Naive Local
9,100000,250000,EULERIAN,Adjacency List,69,3600142,52397,EULERIAN,Naive Local
10,100000,250000,EULERIAN,Adjacency List,72,3600117,53650,EULERIAN,Naive Local
1,100000,250002,SEMI_EULERIAN,Adjacency List,79,3600192,52894,SEMI_EULERIAN,Naive Local
2,100000,250002,SEMI_EULERIAN,Adjacency List,56,3600085,57579,SEMI_EULERIAN,Naive Local
3,100000,250002,SEMI_EULERIAN,Adjacency List,75,3600101,54110,SEMI_EULERIAN,Naive Local
4,100000,250002,SEMI_EULERIAN,Adjacency List,88,3600100,55187,SEMI_EULERIAN,Naive Local
2,100000,250000,CONNECTED,Adjacency List,88,1614299,0,NON_EULERIAN,Naive Local
4,100000,250000,CONNECTED,Adjacency List,91,611683,0,NON_EULERIAN,Naive Local
6,100000,250000,CONNECTED,Adjacency List,362,618451,0,NON_EULERIAN,Naive Local
7,100000,250000,CONNECTED,Adjacency List,109,619618,0,NON_EULERIAN,Naive Local
9,100000,250000,CONNECTED,Adjacency List,90,836009,0,NON_EULERIAN,Naive Local
5,100000,250002,SEMI_EULERIAN,Adjacency List,174,3600205,52492,SEMI_EULERIAN,Naive Local
6,100000,250002,SEMI_EULERIAN,Adjacency List,94,3600143,60650,SEMI_EULERIAN,Naive Local
7,100000,250002,SEMI_EULERIAN,Adjacency List,133,3600137,49530,SEMI_EULERIAN,Naive Local
10,100000,250000,CONNECTED,Adjacency List,123,1071872,0,NON_EULERIAN,Naive Local
8,100000,250002,SEMI_EULERIAN,Adjacency List,83,3600156,58049,SEMI_EULERIAN,Naive Local
5,100000,250000,CONNECTED,Adjacency List,90,1371259,0,NON_EULERIAN,Naive Local
8,100000,250000,CONNECTED,Adjacency List,97,1193864,0,NON_EULERIAN,Naive Local
3,100000,250000,CONNECTED,Adjacency List,90,1849429,0,NON_EULERIAN,Naive Local
9,100000,250002,SEMI_EULERIAN,Adjacency List,77,3600137,57398,SEMI_EULERIAN,Naive Local
10,100000,250002,SEMI_EULERIAN,Adjacency List,59,3600145,54523,SEMI_EULERIAN,Naive Local
2,100000,250000,CONNECTED,Forward Star,70,642303,0,NON_EULERIAN,Naive Local
3,100000,250000,CONNECTED,Forward Star,73,785616,0,NON_EULERIAN,Naive Local
4,100000,250000,CONNECTED,Forward Star,67,833799,0,NON_EULERIAN,Naive Local
1,100000,250000,CONNECTED,Forward Star,69,1514437,0,NON_EULERIAN,Naive Local
5,100000,250000,CONNECTED,Forward Star,78,1218679,0,NON_EULERIAN,Naive Local
7,100000,250000,CONNECTED,Forward Star,76,918109,0,NON_EULERIAN,Naive Local
1,100000,250000,EULERIAN,Forward Star,109,3600019,50165,EULERIAN,Naive Local
1,100,250,EULERIAN,Adjacency List,0,608,251,EULERIAN,Naive Global
2,100,250,EULERIAN,Adjacency List,0,514,251,EULERIAN,Naive Global
2,100000,250000,EULERIAN,Forward Star,134,3600019,50717,EULERIAN,Naive Local
3,100,250,EULERIAN,Adjacency List,0,518,251,EULERIAN,Naive Global
4,100,250,EULERIAN,Adjacency List,0,458,251,EULERIAN,Naive Global
3,100000,250000,EULERIAN,Forward Star,79,3600015,50446,EULERIAN,Naive Local
5,100,250,EULERIAN,Adjacency List,0,613,251,EULERIAN,Naive Global
6,100,250,EULERIAN,Adjacency List,0,622,251,EULERIAN,Naive Global
7,100,250,EULERIAN,Adjacency List,0,607,251,EULERIAN,Naive Global
8,100,250,EULERIAN,Adjacency List,3,604,251,EULERIAN,Naive Global
9,100,250,EULERIAN,Adjacency List,0,650,251,EULERIAN,Naive Global
10,100,250,EULERIAN,Adjacency List,1,534,251,EULERIAN,Naive Global
1,100,252,SEMI_EULERIAN,Adjacency List,0,621,253,SEMI_EULERIAN,Naive Global
2,100,252,SEMI_EULERIAN,Adjacency List,0,607,253,SEMI_EULERIAN,Naive Global
3,100,252,SEMI_EULERIAN,Adjacency List,1,626,253,SEMI_EULERIAN,Naive Global
4,100,252,SEMI_EULERIAN,Adjacency List,0,650,253,SEMI_EULERIAN,Naive Global
5,100,252,SEMI_EULERIAN,Adjacency List,0,652,253,SEMI_EULERIAN,Naive Global
6,100,252,SEMI_EULERIAN,Adjacency List,0,725,253,SEMI_EULERIAN,Naive Global
7,100,252,SEMI_EULERIAN,Adjacency List,0,690,253,SEMI_EULERIAN,Naive Global
8,100,252,SEMI_EULERIAN,Adjacency List,1,676,253,SEMI_EULERIAN,Naive Global
9,100,252,SEMI_EULERIAN,Adjacency List,0,644,253,SEMI_EULERIAN,Naive Global
10,100,252,SEMI_EULERIAN,Adjacency List,0,605,253,SEMI_EULERIAN,Naive Global
1,100,250,CONNECTED,Adjacency List,1,614,0,NON_EULERIAN,Naive Global
2,100,250,CONNECTED,Adjacency List,0,616,0,NON_EULERIAN,Naive Global
3,100,250,CONNECTED,Adjacency List,0,711,0,NON_EULERIAN,Naive Global
4,100,250,CONNECTED,Adjacency List,0,651,0,NON_EULERIAN,Naive Global
5,100,250,CONNECTED,Adjacency List,1,695,0,NON_EULERIAN,Naive Global
6,100,250,CONNECTED,Adjacency List,0,636,0,NON_EULERIAN,Naive Global
7,100,250,CONNECTED,Adjacency List,0,572,0,NON_EULERIAN,Naive Global
8,100,250,CONNECTED,Adjacency List,0,768,0,NON_EULERIAN,Naive Global
9,100,250,CONNECTED,Adjacency List,0,621,0,NON_EULERIAN,Naive Global
10,100,250,CONNECTED,Adjacency List,0,708,0,NON_EULERIAN,Naive Global
1,100,250,EULERIAN,Forward Star,0,374,251,EULERIAN,Naive Global
2,100,250,EULERIAN,Forward Star,2,281,251,EULERIAN,Naive Global
3,100,250,EULERIAN,Forward Star,0,266,251,EULERIAN,Naive Global
4,100,250,EULERIAN,Forward Star,0,281,251,EULERIAN,Naive Global
5,100,250,EULERIAN,Forward Star,0,247,251,EULERIAN,Naive Global
6,100,250,EULERIAN,Forward Star,0,251,251,EULERIAN,Naive Global
7,100,250,EULERIAN,Forward Star,0,223,251,EULERIAN,Naive Global
8,100,250,EULERIAN,Forward Star,0,223,251,EULERIAN,Naive Global
9,100,250,EULERIAN,Forward Star,1,236,251,EULERIAN,Naive Global
10,100,250,EULERIAN,Forward Star,0,217,251,EULERIAN,Naive Global
1,100,252,SEMI_EULERIAN,Forward Star,0,240,253,SEMI_EULERIAN,Naive Global
2,100,252,SEMI_EULERIAN,Forward Star,1,245,253,SEMI_EULERIAN,Naive Global
3,100,252,SEMI_EULERIAN,Forward Star,0,287,253,SEMI_EULERIAN,Naive Global
4,100,252,SEMI_EULERIAN,Forward Star,0,279,253,SEMI_EULERIAN,Naive Global
5,100,252,SEMI_EULERIAN,Forward Star,1,282,253,SEMI_EULERIAN,Naive Global
6,100,252,SEMI_EULERIAN,Forward Star,0,319,253,SEMI_EULERIAN,Naive Global
7,100,252,SEMI_EULERIAN,Forward Star,0,301,253,SEMI_EULERIAN,Naive Global
8,100,252,SEMI_EULERIAN,Forward Star,1,296,253,SEMI_EULERIAN,Naive Global
9,100,252,SEMI_EULERIAN,Forward Star,0,264,253,SEMI_EULERIAN,Naive Global
10,100,252,SEMI_EULERIAN,Forward Star,0,253,253,SEMI_EULERIAN,Naive Global
1,100,250,CONNECTED,Forward Star,0,185,0,NON_EULERIAN,Naive Global
2,100,250,CONNECTED,Forward Star,0,81,0,NON_EULERIAN,Naive Global
3,100,250,CONNECTED,Forward Star,0,224,0,NON_EULERIAN,Naive Global
5,100,250,CONNECTED,Forward Star,0,193,0,NON_EULERIAN,Naive Global
4,100,250,CONNECTED,Forward Star,0,284,0,NON_EULERIAN,Naive Global
7,100,250,CONNECTED,Forward Star,0,102,0,NON_EULERIAN,Naive Global
6,100,250,CONNECTED,Forward Star,0,246,0,NON_EULERIAN,Naive Global
8,100,250,CONNECTED,Forward Star,1,232,0,NON_EULERIAN,Naive Global
9,100,250,CONNECTED,Forward Star,0,275,0,NON_EULERIAN,Naive Global
10,100,250,CONNECTED,Forward Star,0,632,0,NON_EULERIAN,Naive Global
4,100000,250000,EULERIAN,Forward Star,104,3600089,50151,EULERIAN,Naive Local
5,100000,250000,EULERIAN,Forward Star,79,3600087,49981,EULERIAN,Naive Local
6,100000,250000,CONNECTED,Forward Star,74,1240800,0,NON_EULERIAN,Naive Local
6,100000,250000,EULERIAN,Forward Star,149,3600025,50502,EULERIAN,Naive Local
7,100000,250000,EULERIAN,Forward Star,87,3600073,50294,EULERIAN,Naive Local
8,100000,250000,EULERIAN,Forward Star,74,3600030,50155,EULERIAN,Naive Local
9,100000,250000,EULERIAN,Forward Star,143,3600049,49736,EULERIAN,Naive Local
8,100000,250000,CONNECTED,Forward Star,69,1168153,0,NON_EULERIAN,Naive Local
10,100000,250000,EULERIAN,Forward Star,77,3600085,48721,EULERIAN,Naive Local
1,100000,250002,SEMI_EULERIAN,Forward Star,97,3600041,47937,SEMI_EULERIAN,Naive Local
2,100000,250002,SEMI_EULERIAN,Forward Star,69,3600033,46465,SEMI_EULERIAN,Naive Local
3,100000,250002,SEMI_EULERIAN,Forward Star,78,3600064,46583,SEMI_EULERIAN,Naive Local
4,100000,250002,SEMI_EULERIAN,Forward Star,74,3600074,45269,SEMI_EULERIAN,Naive Local
5,100000,250002,SEMI_EULERIAN,Forward Star,73,3600078,44614,SEMI_EULERIAN,Naive Local
6,100000,250002,SEMI_EULERIAN,Forward Star,85,3600103,44546,SEMI_EULERIAN,Naive Local
7,100000,250002,SEMI_EULERIAN,Forward Star,78,3600066,43905,SEMI_EULERIAN,Naive Local
8,100000,250002,SEMI_EULERIAN,Forward Star,67,3600059,44032,SEMI_EULERIAN,Naive Local
1,1000,2500,EULERIAN,Adjacency List,1,1084828,2501,EULERIAN,Naive Global
3,1000,2500,EULERIAN,Adjacency List,1,1086105,2501,EULERIAN,Naive Global
2,1000,2500,EULERIAN,Adjacency List,0,1118329,2501,EULERIAN,Naive Global
5,1000,2500,EULERIAN,Adjacency List,0,1110053,2501,EULERIAN,Naive Global
4,1000,2500,EULERIAN,Adjacency List,0,1122415,2501,EULERIAN,Naive Global
9,100000,250002,SEMI_EULERIAN,Forward Star,67,3600047,43429,SEMI_EULERIAN,Naive Local
6,1000,2500,EULERIAN,Adjacency List,0,1119959,2501,EULERIAN,Naive Global
9,1000,2500,EULERIAN,Adjacency List,0,1115143,2501,EULERIAN,Naive Global
7,1000,2500,EULERIAN,Adjacency List,0,1124189,2501,EULERIAN,Naive Global
10,1000,2500,EULERIAN,Adjacency List,1,1121815,2501,EULERIAN,Naive Global
10,100000,250002,SEMI_EULERIAN,Forward Star,74,3600061,43051,SEMI_EULERIAN,Naive Local
8,1000,2500,EULERIAN,Adjacency List,0,1155842,2501,EULERIAN,Naive Global
9,100000,250000,CONNECTED,Forward Star,70,1824737,0,NON_EULERIAN,Naive Local
1,1000,2502,SEMI_EULERIAN,Adjacency List,1,1170900,2503,SEMI_EULERIAN,Naive Global
1,1000,2500,CONNECTED,Adjacency List,6,350722,0,NON_EULERIAN,Naive Global
2,1000,2502,SEMI_EULERIAN,Adjacency List,1,1170681,2503,SEMI_EULERIAN,Naive Global
3,1000,2502,SEMI_EULERIAN,Adjacency List,0,1190863,2503,SEMI_EULERIAN,Naive Global
1,1000,2500,EULERIAN,Forward Star,0,551723,2501,EULERIAN,Naive Global
10,1000,2500,CONNECTED,Adjacency List,0,574577,0,NON_EULERIAN,Naive Global
2,1000,2500,EULERIAN,Forward Star,0,556008,2501,EULERIAN,Naive Global
5,1000,2502,SEMI_EULERIAN,Adjacency List,0,1196647,2503,SEMI_EULERIAN,Naive Global
4,1000,2502,SEMI_EULERIAN,Adjacency List,0,1230211,2503,SEMI_EULERIAN,Naive Global
7,1000,2500,CONNECTED,Adjacency List,0,703845,0,NON_EULERIAN,Naive Global
8,1000,2500,CONNECTED,Adjacency List,1,699721,0,NON_EULERIAN,Naive Global
6,1000,2500,CONNECTED,Adjacency List,6,748721,0,NON_EULERIAN,Naive Global
5,1000,2500,CONNECTED,Adjacency List,1,792697,0,NON_EULERIAN,Naive Global
3,1000,2500,EULERIAN,Forward Star,1,522766,2501,EULERIAN,Naive Global
5,1000,2500,EULERIAN,Forward Star,0,510310,2501,EULERIAN,Naive Global
4,1000,2500,EULERIAN,Forward Star,0,521441,2501,EULERIAN,Naive Global
10,100000,250000,CONNECTED,Forward Star,73,1995147,0,NON_EULERIAN,Naive Local
9,1000,2500,CONNECTED,Adjacency List,0,834938,0,NON_EULERIAN,Naive Global
3,1000,2500,CONNECTED,Adjacency List,0,865355,0,NON_EULERIAN,Naive Global
6,1000,2500,EULERIAN,Forward Star,0,509147,2501,EULERIAN,Naive Global
7,1000,2500,EULERIAN,Forward Star,1,498826,2501,EULERIAN,Naive Global
2,1000,2500,CONNECTED,Adjacency List,1,936455,0,NON_EULERIAN,Naive Global
6,1000,2502,SEMI_EULERIAN,Adjacency List,0,1227399,2503,SEMI_EULERIAN,Naive Global
4,1000,2500,CONNECTED,Adjacency List,1,944458,0,NON_EULERIAN,Naive Global
1,1000,2500,CONNECTED,Forward Star,1,97694,0,NON_EULERIAN,Naive Global
8,1000,2502,SEMI_EULERIAN,Adjacency List,0,1188507,2503,SEMI_EULERIAN,Naive Global
7,1000,2502,SEMI_EULERIAN,Adjacency List,1,1192555,2503,SEMI_EULERIAN,Naive Global
8,1000,2500,EULERIAN,Forward Star,1,449837,2501,EULERIAN,Naive Global
9,1000,2500,EULERIAN,Forward Star,0,428092,2501,EULERIAN,Naive Global
4,1000,2500,CONNECTED,Forward Star,0,163097,0,NON_EULERIAN,Naive Global
10,1000,2500,EULERIAN,Forward Star,1,446012,2501,EULERIAN,Naive Global
9,1000,2502,SEMI_EULERIAN,Adjacency List,1,1146420,2503,SEMI_EULERIAN,Naive Global
1,1000,2502,SEMI_EULERIAN,Forward Star,0,430081,2503,SEMI_EULERIAN,Naive Global
10,1000,2502,SEMI_EULERIAN,Adjacency List,1,1181723,2503,SEMI_EULERIAN,Naive Global
3,1000,2502,SEMI_EULERIAN,Forward Star,1,410147,2503,SEMI_EULERIAN,Naive Global
2,1000,2502,SEMI_EULERIAN,Forward Star,0,441374,2503,SEMI_EULERIAN,Naive Global
4,1000,2502,SEMI_EULERIAN,Forward Star,0,435666,2503,SEMI_EULERIAN,Naive Global
5,1000,2502,SEMI_EULERIAN,Forward Star,0,457986,2503,SEMI_EULERIAN,Naive Global
3,1000,2500,CONNECTED,Forward Star,1,381216,0,NON_EULERIAN,Naive Global
6,1000,2502,SEMI_EULERIAN,Forward Star,1,469031,2503,SEMI_EULERIAN,Naive Global
7,1000,2502,SEMI_EULERIAN,Forward Star,0,483775,2503,SEMI_EULERIAN,Naive Global
8,1000,2502,SEMI_EULERIAN,Forward Star,0,497104,2503,SEMI_EULERIAN,Naive Global
9,1000,2502,SEMI_EULERIAN,Forward Star,0,507023,2503,SEMI_EULERIAN,Naive Global
9,1000,2500,CONNECTED,Forward Star,6,337575,0,NON_EULERIAN,Naive Global
10,1000,2502,SEMI_EULERIAN,Forward Star,1,498471,2503,SEMI_EULERIAN,Naive Global
7,1000,2500,CONNECTED,Forward Star,0,411838,0,NON_EULERIAN,Naive Global
2,1000,2500,CONNECTED,Forward Star,0,550379,0,NON_EULERIAN,Naive Global
5,1000,2500,CONNECTED,Forward Star,0,540769,0,NON_EULERIAN,Naive Global
8,1000,2500,CONNECTED,Forward Star,0,490042,0,NON_EULERIAN,Naive Global
6,1000,2500,CONNECTED,Forward Star,1,572097,0,NON_EULERIAN,Naive Global
10,1000,2500,CONNECTED,Forward Star,0,573388,0,NON_EULERIAN,Naive Global
2,10000,25000,EULERIAN,Adjacency List,4,3600326,19,EULERIAN,Naive Global
1,10000,25000,EULERIAN,Adjacency List,7,3600919,22,EULERIAN,Naive Global
3,10000,25000,EULERIAN,Adjacency List,4,3600342,20,EULERIAN,Naive Global
4,10000,25000,EULERIAN,Adjacency List,5,3600271,21,EULERIAN,Naive Global
5,10000,25000,EULERIAN,Adjacency List,8,3600102,21,EULERIAN,Naive Global
6,10000,25000,EULERIAN,Adjacency List,7,3600295,18,EULERIAN,Naive Global
7,10000,25000,EULERIAN,Adjacency List,10,3600123,20,EULERIAN,Naive Global
8,10000,25000,EULERIAN,Adjacency List,8,3601276,26,EULERIAN,Naive Global
9,10000,25000,EULERIAN,Adjacency List,11,3601358,22,EULERIAN,Naive Global
10,10000,25000,EULERIAN,Adjacency List,8,3600145,18,EULERIAN,Naive Global
1,10000,25002,SEMI_EULERIAN,Adjacency List,34,3600471,19,SEMI_EULERIAN,Naive Global
2,10000,25002,SEMI_EULERIAN,Adjacency List,11,3600053,23,SEMI_EULERIAN,Naive Global
3,10000,25002,SEMI_EULERIAN,Adjacency List,8,3600585,21,SEMI_EULERIAN,Naive Global
4,10000,25002,SEMI_EULERIAN,Adjacency List,10,3600096,21,SEMI_EULERIAN,Naive Global
5,10000,25002,SEMI_EULERIAN,Adjacency List,4,3600163,18,SEMI_EULERIAN,Naive Global
6,10000,25002,SEMI_EULERIAN,Adjacency List,5,3600141,19,SEMI_EULERIAN,Naive Global
7,10000,25002,SEMI_EULERIAN,Adjacency List,5,3600347,22,SEMI_EULERIAN,Naive Global
8,10000,25002,SEMI_EULERIAN,Adjacency List,24,3600799,19,SEMI_EULERIAN,Naive Global
9,10000,25002,SEMI_EULERIAN,Adjacency List,8,3600226,18,SEMI_EULERIAN,Naive Global
10,10000,25002,SEMI_EULERIAN,Adjacency List,12,3600455,17,SEMI_EULERIAN,Naive Global
1,10000,25000,CONNECTED,Adjacency List,14,3600189,17,SEMI_EULERIAN,Naive Global
2,10000,25000,CONNECTED,Adjacency List,24,3600225,20,SEMI_EULERIAN,Naive Global
3,10000,25000,CONNECTED,Adjacency List,5,3600100,16,SEMI_EULERIAN,Naive Global
4,10000,25000,CONNECTED,Adjacency List,8,3600124,18,SEMI_EULERIAN,Naive Global
6,10000,25000,CONNECTED,Adjacency List,13,3600225,24,SEMI_EULERIAN,Naive Global
5,10000,25000,CONNECTED,Adjacency List,14,3600757,25,SEMI_EULERIAN,Naive Global
7,10000,25000,CONNECTED,Adjacency List,5,3600563,28,SEMI_EULERIAN,Naive Global
8,10000,25000,CONNECTED,Adjacency List,9,3600261,27,SEMI_EULERIAN,Naive Global
9,10000,25000,CONNECTED,Adjacency List,7,3600065,28,SEMI_EULERIAN,Naive Global
10,10000,25000,CONNECTED,Adjacency List,18,3600232,26,SEMI_EULERIAN,Naive Global
1,10000,25000,EULERIAN,Forward Star,9,3600037,64,EULERIAN,Naive Global
2,10000,25000,EULERIAN,Forward Star,9,3600128,55,EULERIAN,Naive Global
3,10000,25000,EULERIAN,Forward Star,18,3600623,66,EULERIAN,Naive Global
4,10000,25000,EULERIAN,Forward Star,11,3600710,58,EULERIAN,Naive Global
5,10000,25000,EULERIAN,Forward Star,5,3600235,57,EULERIAN,Naive Global
6,10000,25000,EULERIAN,Forward Star,34,3600323,63,EULERIAN,Naive Global
7,10000,25000,EULERIAN,Forward Star,11,3600135,57,EULERIAN,Naive Global
8,10000,25000,EULERIAN,Forward Star,11,3600066,64,EULERIAN,Naive Global
9,10000,25000,EULERIAN,Forward Star,41,3600038,57,EULERIAN,Naive Global
10,10000,25000,EULERIAN,Forward Star,18,3600063,64,EULERIAN,Naive Global
1,10000,25002,SEMI_EULERIAN,Forward Star,17,3600280,66,SEMI_EULERIAN,Naive Global
2,10000,25002,SEMI_EULERIAN,Forward Star,8,3600464,64,SEMI_EULERIAN,Naive Global
3,10000,25002,SEMI_EULERIAN,Forward Star,12,3600041,60,SEMI_EULERIAN,Naive Global
4,10000,25002,SEMI_EULERIAN,Forward Star,10,3600426,61,SEMI_EULERIAN,Naive Global
5,10000,25002,SEMI_EULERIAN,Forward Star,5,3600341,56,SEMI_EULERIAN,Naive Global
6,10000,25002,SEMI_EULERIAN,Forward Star,7,3600124,66,SEMI_EULERIAN,Naive Global
7,10000,25002,SEMI_EULERIAN,Forward Star,8,3600629,66,SEMI_EULERIAN,Naive Global
8,10000,25002,SEMI_EULERIAN,Forward Star,22,3600071,65,SEMI_EULERIAN,Naive Global
9,10000,25002,SEMI_EULERIAN,Forward Star,4,3600517,39,SEMI_EULERIAN,Naive Global
10,10000,25002,SEMI_EULERIAN,Forward Star,7,3600100,41,SEMI_EULERIAN,Naive Global
1,10000,25000,CONNECTED,Forward Star,8,3600316,38,SEMI_EULERIAN,Naive Global
2,10000,25000,CONNECTED,Forward Star,7,3600555,40,SEMI_EULERIAN,Naive Global
3,10000,25000,CONNECTED,Forward Star,8,3600377,38,SEMI_EULERIAN,Naive Global
4,10000,25000,CONNECTED,Forward Star,11,3600148,38,SEMI_EULERIAN,Naive Global
5,10000,25000,CONNECTED,Forward Star,10,3600424,39,SEMI_EULERIAN,Naive Global
6,10000,25000,CONNECTED,Forward Star,4,3600747,37,SEMI_EULERIAN,Naive Global
7,10000,25000,CONNECTED,Forward Star,10,3600230,37,SEMI_EULERIAN,Naive Global
8,10000,25000,CONNECTED,Forward Star,10,3600166,38,SEMI_EULERIAN,Naive Global
9,10000,25000,CONNECTED,Forward Star,7,3600165,38,SEMI_EULERIAN,Naive Global
10,10000,25000,CONNECTED,Forward Star,10,3600248,37,SEMI_EULERIAN,Naive Global
2,100000,250000,EULERIAN,Adjacency List,155,3606590,2,EULERIAN,Naive Global
3,100000,250000,EULERIAN,Adjacency List,147,3611607,2,EULERIAN,Naive Global
1,100000,250000,EULERIAN,Adjacency List,90,3675677,2,EULERIAN,Naive Global
6,100000,250000,EULERIAN,Adjacency List,53,3621417,2,EULERIAN,Naive Global
5,100000,250000,EULERIAN,Adjacency List,158,3637308,2,EULERIAN,Naive Global
7,100000,250000,EULERIAN,Adjacency List,184,3632772,2,EULERIAN,Naive Global
4,100000,250000,EULERIAN,Adjacency List,127,3693586,2,EULERIAN,Naive Global
9,100000,250000,EULERIAN,Adjacency List,141,3624579,2,EULERIAN,Naive Global
8,100000,250000,EULERIAN,Adjacency List,141,3678973,2,EULERIAN,Naive Global
10,100000,250000,EULERIAN,Adjacency List,77,3697891,2,EULERIAN,Naive Global
1,100000,250002,SEMI_EULERIAN,Adjacency List,212,3688706,2,SEMI_EULERIAN,Naive Global
2,100000,250002,SEMI_EULERIAN,Adjacency List,135,3696671,2,SEMI_EULERIAN,Naive Global
3,100000,250002,SEMI_EULERIAN,Adjacency List,223,3623456,3,SEMI_EULERIAN,Naive Global
7,100000,250002,SEMI_EULERIAN,Adjacency List,130,3617836,2,SEMI_EULERIAN,Naive Global
4,100000,250002,SEMI_EULERIAN,Adjacency List,191,3651609,3,SEMI_EULERIAN,Naive Global
6,100000,250002,SEMI_EULERIAN,Adjacency List,149,3631123,2,SEMI_EULERIAN,Naive Global
8,100000,250002,SEMI_EULERIAN,Adjacency List,125,3617529,2,SEMI_EULERIAN,Naive Global
5,100000,250002,SEMI_EULERIAN,Adjacency List,130,3698885,2,SEMI_EULERIAN,Naive Global
1,100000,250000,CONNECTED,Adjacency List,101,3624864,2,SEMI_EULERIAN,Naive Global
9,100000,250002,SEMI_EULERIAN,Adjacency List,224,3694199,2,SEMI_EULERIAN,Naive Global
10,100000,250002,SEMI_EULERIAN,Adjacency List,230,3704137,3,SEMI_EULERIAN,Naive Global
2,100000,250000,CONNECTED,Adjacency List,179,3697422,2,SEMI_EULERIAN,Naive Global
3,100000,250000,CONNECTED,Adjacency List,153,3641703,2,SEMI_EULERIAN,Naive Global
